"id","position","entry_name","type","path_to_dump"
1,0,dezoomified_0230.djvu,1,new_dict/0_dezoomified_0230.djvu/
2,1,shared_anno.iff,2,new_dict/1_shared_anno.iff/
3,2,dezoomified_0231.djvu,1,new_dict/2_dezoomified_0231.djvu/
4,3,dezoomified_0232.djvu,1,new_dict/3_dezoomified_0232.djvu/
5,4,dezoomified_0233.djvu,1,new_dict/4_dezoomified_0233.djvu/
6,5,dezoomified_0234.djvu,1,new_dict/5_dezoomified_0234.djvu/
7,6,dezoomified_0235.djvu,1,new_dict/6_dezoomified_0235.djvu/
8,7,dezoomified_0236.djvu,1,new_dict/7_dezoomified_0236.djvu/
9,8,dezoomified_0237.djvu,1,new_dict/8_dezoomified_0237.djvu/
10,9,dezoomified_0238.djvu,1,new_dict/9_dezoomified_0238.djvu/
11,10,dezoomified_0239.djvu,1,new_dict/10_dezoomified_0239.djvu/
12,11,dezoomified_0240.djvu,1,new_dict/11_dezoomified_0240.djvu/
13,12,dezoomified_0241.djvu,1,new_dict/12_dezoomified_0241.djvu/
14,13,dezoomified_0242.djvu,1,new_dict/13_dezoomified_0242.djvu/
15,14,dezoomified_0243.djvu,1,new_dict/14_dezoomified_0243.djvu/
16,15,dezoomified_0244.djvu,1,new_dict/15_dezoomified_0244.djvu/
17,16,dezoomified_0245.djvu,1,new_dict/16_dezoomified_0245.djvu/
18,17,dezoomified_0246.djvu,1,new_dict/17_dezoomified_0246.djvu/
19,18,dezoomified_0247.djvu,1,new_dict/18_dezoomified_0247.djvu/
20,19,dezoomified_0248.djvu,1,new_dict/19_dezoomified_0248.djvu/
21,20,dezoomified_0249.djvu,1,new_dict/20_dezoomified_0249.djvu/
22,21,dezoomified_0250.djvu,1,new_dict/21_dezoomified_0250.djvu/
23,22,dezoomified_0251.djvu,1,new_dict/22_dezoomified_0251.djvu/
24,23,dezoomified_0252.djvu,1,new_dict/23_dezoomified_0252.djvu/
25,24,dezoomified_0253.djvu,1,new_dict/24_dezoomified_0253.djvu/
26,25,dezoomified_0254.djvu,1,new_dict/25_dezoomified_0254.djvu/
27,26,dezoomified_0255.djvu,1,new_dict/26_dezoomified_0255.djvu/
28,27,dezoomified_0256.djvu,1,new_dict/27_dezoomified_0256.djvu/
29,28,dezoomified_0257.djvu,1,new_dict/28_dezoomified_0257.djvu/
30,29,dezoomified_0258.djvu,1,new_dict/29_dezoomified_0258.djvu/
31,30,dezoomified_0259.djvu,1,new_dict/30_dezoomified_0259.djvu/
32,31,dezoomified_0260.djvu,1,new_dict/31_dezoomified_0260.djvu/
33,32,dezoomified_0261.djvu,1,new_dict/32_dezoomified_0261.djvu/
34,33,dezoomified_0262.djvu,1,new_dict/33_dezoomified_0262.djvu/
35,34,dezoomified_0263.djvu,1,new_dict/34_dezoomified_0263.djvu/
36,35,dezoomified_0264.djvu,1,new_dict/35_dezoomified_0264.djvu/
37,36,dezoomified_0265.djvu,1,new_dict/36_dezoomified_0265.djvu/
38,37,dezoomified_0266.djvu,1,new_dict/37_dezoomified_0266.djvu/
39,38,dezoomified_0267.djvu,1,new_dict/38_dezoomified_0267.djvu/
40,39,dezoomified_0268.djvu,1,new_dict/39_dezoomified_0268.djvu/
41,40,dezoomified_0269.djvu,1,new_dict/40_dezoomified_0269.djvu/
42,41,dezoomified_0270.djvu,1,new_dict/41_dezoomified_0270.djvu/
43,42,dezoomified_0271.djvu,1,new_dict/42_dezoomified_0271.djvu/
44,43,dezoomified.djvu,1,new_dict/43_dezoomified.djvu/
